wall_timestamp,cam_id,rsu_id,payload_bytes,seq
1786597269.593057,CAM_05,RSU_02,156,23
1786597270.499058,CAM_06,RSU_03,156,24
1786597272.597101,CAM_07,RSU_03,158,24
1786597275.643188,CAM_01,RSU_01,156,24
1786597276.586187,CAM_02,RSU_01,156,24
1786597277.546189,CAM_03,RSU_02,156,24
1786597278.675187,CAM_04,RSU_02,156,24
1786597279.634188,CAM_05,RSU_02,156,24
1786597280.532186,CAM_06,RSU_03,156,25
1786597281.466704,CAM_07,RSU_03,158,25
1786597283.044703,CAM_01,RSU_01,156,25
1786597284.002473,CAM_02,RSU_01,156,25
1786597284.989718,CAM_03,RSU_02,156,25
1786597285.886277,CAM_04,RSU_02,156,25
1786597287.221277,CAM_05,RSU_02,156,25
1786597288.417650,CAM_06,RSU_03,156,26
1786597289.317210,CAM_07,RSU_03,158,26
1786597290.946836,CAM_01,RSU_01,156,26
1786597293.739814,CAM_02,RSU_01,156,26
1786597294.630814,CAM_03,RSU_02,156,26
1786597295.658818,CAM_04,RSU_02,156,26
1786597296.619816,CAM_05,RSU_02,156,26
1786597297.558816,CAM_06,RSU_03,156,27
1786597298.490814,CAM_07,RSU_03,158,27
1786597300.057856,CAM_01,RSU_01,156,27
1786597301.030858,CAM_02,RSU_01,156,27
1786597301.909856,CAM_03,RSU_02,156,27
1786597303.337857,CAM_04,RSU_02,156,27
1786597304.498079,CAM_05,RSU_02,156,27
1786597305.779078,CAM_06,RSU_03,156,28
1786597306.680077,CAM_07,RSU_03,158,28
1786597308.352133,CAM_01,RSU_01,156,28
1786597310.013182,CAM_02,RSU_01,156,28
1786597311.436494,CAM_03,RSU_02,156,28
1786597312.557207,CAM_04,RSU_02,156,28
1786597313.974723,CAM_05,RSU_02,156,28
1786597315.091821,CAM_06,RSU_03,156,29
1786597316.368823,CAM_07,RSU_03,158,29
1786597318.436738,CAM_01,RSU_01,156,29
1786597319.365736,CAM_02,RSU_01,156,29
1786597320.670254,CAM_03,RSU_02,156,29
1786597321.638768,CAM_04,RSU_02,156,29
1786597322.653766,CAM_05,RSU_02,156,29
1786597323.625326,CAM_06,RSU_03,156,30
1786597324.853326,CAM_07,RSU_03,158,30
1786597327.163993,CAM_01,RSU_01,156,30
1786597328.100993,CAM_02,RSU_01,156,30
1786597329.245993,CAM_03,RSU_02,156,30
1786597330.430993,CAM_04,RSU_02,156,30
1786597333.548997,CAM_05,RSU_02,156,30
1786597334.668062,CAM_06,RSU_03,156,31
1786597336.444062,CAM_07,RSU_03,158,31
1786597338.080486,CAM_01,RSU_01,156,31
1786597339.092483,CAM_02,RSU_01,156,31
1786597340.910485,CAM_03,RSU_02,156,31
1786597343.662729,CAM_04,RSU_02,155,31
1786597345.463798,CAM_05,RSU_02,156,31
1786597346.539798,CAM_06,RSU_03,156,32
1786597348.074797,CAM_07,RSU_03,158,32
1786597350.172799,CAM_01,RSU_01,156,32
1786597351.474416,CAM_02,RSU_01,156,32
1786597353.251971,CAM_03,RSU_02,156,32
1786597354.783024,CAM_04,RSU_02,156,32
1786597356.136544,CAM_05,RSU_02,156,32
1786597357.570675,CAM_06,RSU_03,156,33
1786597359.155193,CAM_07,RSU_03,158,33
1786597361.594773,CAM_01,RSU_01,156,33
1786597363.033923,CAM_02,RSU_01,156,33
1786597364.574924,CAM_03,RSU_02,156,33
1786597365.822927,CAM_04,RSU_02,156,33
1786597367.096934,CAM_05,RSU_02,156,33
1786597368.410923,CAM_06,RSU_03,156,34
1786597369.871925,CAM_07,RSU_03,158,34
1786597371.900001,CAM_01,RSU_01,156,34
1786597372.949001,CAM_02,RSU_01,153,34
1786597374.168003,CAM_03,RSU_02,156,34
1786597375.148000,CAM_04,RSU_02,153,34
1786597376.199001,CAM_05,RSU_02,156,34
1786597377.143003,CAM_06,RSU_03,153,35
1786597378.126004,CAM_07,RSU_03,158,35
1786597380.958002,CAM_01,RSU_01,156,35
1786597382.640062,CAM_02,RSU_01,156,35
1786597383.925725,CAM_03,RSU_02,156,35
1786597385.102432,CAM_04,RSU_02,155,35
1786597386.184432,CAM_05,RSU_02,156,35
1786597387.113431,CAM_06,RSU_03,156,36
1786597389.369470,CAM_07,RSU_03,158,36
1786597392.311894,CAM_01,RSU_01,156,36
1786597394.390894,CAM_02,RSU_01,156,36
1786597395.357894,CAM_03,RSU_02,156,36
1786597396.603895,CAM_04,RSU_02,156,36
1786597397.689894,CAM_05,RSU_02,156,36
1786597398.682896,CAM_06,RSU_03,156,37
1786597399.802937,CAM_07,RSU_03,158,37
1786597402.452463,CAM_01,RSU_01,156,37
1786597403.576454,CAM_02,RSU_01,156,37
1786597404.760029,CAM_03,RSU_02,156,37
1786597405.766028,CAM_04,RSU_02,155,37
1786597407.124027,CAM_05,RSU_02,156,37
1786597408.216070,CAM_06,RSU_03,156,38
1786597409.760235,CAM_07,RSU_03,158,38
1786597412.338884,CAM_01,RSU_01,156,38
1786597413.480399,CAM_02,RSU_01,154,38
1786597414.789647,CAM_03,RSU_02,156,38
1786597415.405433,CAM_04,RSU_02,156,38
1786597416.509710,CAM_05,RSU_02,156,38
1786597417.932711,CAM_06,RSU_03,156,39
1786597418.390666,CAM_07,RSU_03,158,39
1786597419.107792,CAM_01,RSU_01,156,39
1786597419.562867,CAM_02,RSU_01,156,39
1786597420.024676,CAM_03,RSU_02,156,39
1786597420.480406,CAM_04,RSU_02,156,39
1786597421.587972,CAM_05,RSU_02,156,39
1786597422.780967,CAM_06,RSU_03,156,40
1786597423.274515,CAM_07,RSU_03,158,40
1786597424.046143,CAM_01,RSU_01,156,40
1786597424.501656,CAM_02,RSU_01,156,40
1786597425.242528,CAM_03,RSU_02,156,40
1786597426.655525,CAM_04,RSU_02,156,40
1786597430.352098,CAM_05,RSU_02,156,40
1786597431.699695,CAM_06,RSU_03,156,41
1786597433.113695,CAM_07,RSU_03,158,41
1786597435.280770,CAM_01,RSU_01,156,41
1786597437.838950,CAM_02,RSU_01,156,41
1786597441.445995,CAM_03,RSU_02,156,41
1786597443.637995,CAM_04,RSU_02,156,41
1786597445.125594,CAM_05,RSU_02,156,41
1786597446.920567,CAM_06,RSU_03,156,42
1786597447.740570,CAM_07,RSU_03,158,42
1786597448.495881,CAM_01,RSU_01,156,42
1786597449.023885,CAM_02,RSU_01,156,42
1786597449.471879,CAM_03,RSU_02,156,42
1786597451.908400,CAM_04,RSU_02,156,42
1786597455.288735,CAM_05,RSU_02,156,42
1786597457.487819,CAM_06,RSU_03,156,43
1786597457.888822,CAM_07,RSU_03,158,43
1786597461.017820,CAM_01,RSU_01,156,43
1786597462.656818,CAM_02,RSU_01,156,43
1786597464.387922,CAM_03,RSU_02,156,43
1786597466.146482,CAM_04,RSU_02,156,43
1786597466.605016,CAM_05,RSU_02,156,43
1786597467.051014,CAM_06,RSU_03,156,44
1786597468.394017,CAM_07,RSU_03,158,44
1786597472.276015,CAM_01,RSU_01,156,44
1786597474.584783,CAM_02,RSU_01,156,44
1786597477.800816,CAM_03,RSU_02,156,44
1786597478.520817,CAM_04,RSU_02,156,44
1786597478.967816,CAM_05,RSU_02,156,44
1786597479.490817,CAM_06,RSU_03,156,45
1786597479.977821,CAM_07,RSU_03,158,45
1786597480.738816,CAM_01,RSU_01,156,45
1786597481.156817,CAM_02,RSU_01,156,45
1786597481.598816,CAM_03,RSU_02,156,45
1786597482.045824,CAM_04,RSU_02,156,45
1786597482.497816,CAM_05,RSU_02,156,45
1786597482.927817,CAM_06,RSU_03,156,46
1786597483.389816,CAM_07,RSU_03,158,46
1786597484.209957,CAM_01,RSU_01,156,46
1786597484.645966,CAM_02,RSU_01,156,46
1786597488.660795,CAM_03,RSU_02,156,46
1786597493.108797,CAM_04,RSU_02,156,46
1786597496.174796,CAM_05,RSU_02,156,46
1786597498.753842,CAM_06,RSU_03,156,47
1786597500.944840,CAM_07,RSU_03,157,47
1786597504.014981,CAM_01,RSU_01,156,47
1786597507.845497,CAM_02,RSU_01,156,47
1786597508.942497,CAM_03,RSU_02,156,47
1786597510.231496,CAM_04,RSU_02,156,47
1786597513.014497,CAM_05,RSU_02,154,47
1786597515.492720,CAM_06,RSU_03,155,48
1786597519.378780,CAM_07,RSU_03,158,48
1786597522.151701,CAM_01,RSU_01,156,48
1786597523.512702,CAM_02,RSU_01,154,48
1786597525.722737,CAM_03,RSU_02,156,48
1786597529.653740,CAM_04,RSU_02,156,48
1786597531.170773,CAM_05,RSU_02,156,48
1786597532.584773,CAM_06,RSU_03,156,49
1786597534.067777,CAM_07,RSU_03,158,49
1786597536.362624,CAM_01,RSU_01,156,49
1786597538.151734,CAM_02,RSU_01,156,49
1786597539.499736,CAM_03,RSU_02,156,49
1786597540.905736,CAM_04,RSU_02,156,49
1786597542.108681,CAM_05,RSU_02,156,49
1786597543.415681,CAM_06,RSU_03,156,50
1786597544.555683,CAM_07,RSU_03,158,50
1786597546.541765,CAM_01,RSU_01,156,50
1786597547.688768,CAM_02,RSU_01,156,50
1786597548.972962,CAM_03,RSU_02,156,50
1786597550.254961,CAM_04,RSU_02,156,50
1786597551.854962,CAM_05,RSU_02,156,50
1786597553.662962,CAM_06,RSU_03,156,51
1786597555.113964,CAM_07,RSU_03,157,51
1786597557.360961,CAM_01,RSU_01,156,51
1786597558.571614,CAM_02,RSU_01,156,51
1786597559.742612,CAM_03,RSU_02,156,51
1786597561.057220,CAM_04,RSU_02,156,51
1786597562.531221,CAM_05,RSU_02,156,51
1786597563.632785,CAM_06,RSU_03,156,52
1786597564.782028,CAM_07,RSU_03,158,52
1786597567.526861,CAM_01,RSU_01,156,52
1786597569.125856,CAM_02,RSU_01,156,52
1786597570.693858,CAM_03,RSU_02,156,52
1786597573.673855,CAM_04,RSU_02,156,52
1786597576.010916,CAM_05,RSU_02,156,52
1786597578.220184,CAM_06,RSU_03,156,53
1786597581.532712,CAM_07,RSU_03,157,53
1786597583.929813,CAM_01,RSU_01,156,53
1786597585.534812,CAM_02,RSU_01,156,53
1786597588.009844,CAM_03,RSU_02,156,53
1786597591.108844,CAM_04,RSU_02,156,53
1786597593.249843,CAM_05,RSU_02,156,53
1786597594.672873,CAM_06,RSU_03,156,54
1786597595.800873,CAM_07,RSU_03,158,54
1786597598.275955,CAM_01,RSU_01,156,54
1786597599.894957,CAM_02,RSU_01,156,54
1786597601.687956,CAM_03,RSU_02,156,54
1786597603.363955,CAM_04,RSU_02,156,54
1786597604.835919,CAM_05,RSU_02,155,54
1786597606.357920,CAM_06,RSU_03,155,55
1786597607.447920,CAM_07,RSU_03,158,55
1786597610.630960,CAM_01,RSU_01,155,55
1786597612.557961,CAM_02,RSU_01,156,55
1786597614.545961,CAM_03,RSU_02,155,55
1786597616.461963,CAM_04,RSU_02,156,55
1786597621.472008,CAM_05,RSU_02,156,55
1786597624.257710,CAM_06,RSU_03,156,56
1786597626.013720,CAM_07,RSU_03,158,56
